,incorrect_trigram_tags,correct_trigram_tags,count
934,NNS IN WRB,VB IN WRB,1
933,NNS IN WP,DT NNS IN,1
932,NNS IN VBD,NNS IN VBD,1
931,NNS IN RB,DT NNS IN,1
929,NNS IN NNS,NNS . _,1
928,NNS IN NNS,NN IN NNS,1
927,NNS IN NNS,EX VBP NNS,1
79,CD NN JJ,CD HYPH NN,1
923,NNS IN NN,NN NNS .,1
922,NNS IN NN,"NN NNS ,",1
920,NNS IN IN,NN IN IN,1
918,NNS FW .,NN NN .,1
917,NNS CD CC,CD CC CD,1
879,NNP VBD DT,", NNP VBD",1
877,NNP RB JJ,PRP VBP RB,1
817,NN VBZ PRP$,NN VBZ PRP$,1
846,NNP CC DT,NNP CC DT,1
844,NNP . RB,NN . RB,1
843,NNP . IN,DT NNP .,1
842,NNP . CC,NNP . CC,1
841,NNP . CC,NN . CC,1
839,"NNP , _","NN , _",1
838,"NNP , VBP","NN , VBP",1
837,"NNP , UH","NNP , PRP$",1
836,"NNP , RB","NN , RB",1
835,"NNP , RB","IN NNP ,",1
834,"NNP , NN","UH , VB",1
832,"NNP , IN","DT NNP ,",1
831,"NNP , IN",", IN DT",1
830,"NNP , DT","NNP , DT",1
829,"NNP , DT","NN , DT",1
828,"NNP , .","NN , .",1
827,NNP '' IN,'' IN DT,1
826,NN WRB RB,NNS WRB RB,1
825,NN WRB RB,NN WRB RB,1
824,NN WDT VBP,NNS WDT VBP,1
823,NN WDT PRP,WDT PRP VBD,1
820,NN WDT DT,NN WDT DT,1
819,NN VBZ TO,NN VBZ TO,1
818,NN VBZ TO,NN NN VBZ,1
845,NNP CC DT,NN CC DT,1
847,NNP CC VBZ,NN CC VBZ,1
876,NNP RB IN,NNP RB IN,1
848,NNP DT NNS,RB DT NNS,1
875,NNP PRP$ NN,NNP PRP$ NN,1
874,NNP PRP VBD,WDT PRP VBD,1
873,NNP PRP VBD,RB PRP VBD,1
872,NNP PRP VBD,NNP PRP VBD,1
870,"NNP POS ,","NNS , NN",1
869,NNP NNS IN,NN NNS IN,1
868,"NNP NNPS ,","NN NNS ,",1
866,NNP NNP IN,NNP NNP IN,1
865,NNP NNP CC,NNP NNP CC,1
864,NNP NNP CC,IN NNP NNP,1
863,NNP NNP .,NN NN .,1
861,NNP NN IN,NN NNP IN,1
860,NNP NN IN,NN NN IN,1
859,NNP NN DT,NNP NN DT,1
858,NNP NN DT,JJ NN DT,1
857,NNP MD VB,NN MD VB,1
856,NNP JJS CC,NNP POS JJS,1
855,NNP IN NN,NN IN NN,1
854,NNP IN IN,NNP IN IN,1
853,NNP IN IN,NN IN IN,1
852,NNP IN DT,NNP IN DT,1
850,NNP IN DT,IN NNP IN,1
849,"NNP IN ,",IN NNP IN,1
2067,_ _ _,_ _ _,1
